ref_date,geo,age_group,population,labour_force,employment,full_time_employment,part_time_employment,unemployment,unemployment_rate,participation_rate,employment_rate
Oct 2021,Quebec,15 years and over,7112.1,4578.2,4334.7,3548.6,786.1,243.4,5.3,64.4,60.9
Oct 2021,Quebec,15 to 24 years,904.7,627.7,581.1,254.7,326.4,46.6,7.4,69.4,64.2
Oct 2021,Quebec,25 years and over,6207.4,3950.4,3753.6,3293.9,459.7,196.8,5,63.6,60.5
Oct 2021,Quebec,25 to 54 years,3285.1,2958.8,2832,2580.3,251.7,126.8,4.3,90.1,86.2
Oct 2021,Quebec,55 years and over,2922.3,991.6,921.7,713.6,208,70,7.1,33.9,31.5
Oct 2022,Quebec,15 years and over,7181.6,4622.5,4435.1,3626.5,808.6,187.4,4.1,64.4,61.8
Oct 2022,Quebec,15 to 24 years,911.5,634.7,588.5,270.4,318.1,46.2,7.3,69.6,64.6
Oct 2022,Quebec,25 years and over,6270,3987.8,3846.6,3356.1,490.5,141.2,3.5,63.6,61.3
Oct 2022,Quebec,25 to 54 years,3301.8,2966.3,2868.3,2620.2,248.1,98,3.3,89.8,86.9
Oct 2022,Quebec,55 years and over,2968.2,1021.5,978.3,735.9,242.4,43.3,4.2,34.4,33
Jan 2019,Saskatchewan,15 years and over,880.8,607.1,574.2,468.4,105.8,33,5.4,68.9,65.2
Jan 2019,Saskatchewan,15 to 24 years,133.8,87.7,79.7,45.4,34.3,8.1,9.2,65.5,59.6
Jan 2019,Saskatchewan,25 years and over,747,519.4,494.5,423,71.5,24.9,4.8,69.5,66.2
Jan 2019,Saskatchewan,25 to 54 years,432.4,384.2,364.6,322.5,42.2,19.6,5.1,88.9,84.3
Jan 2019,Saskatchewan,55 years and over,314.6,135.2,129.9,100.6,29.3,5.3,3.9,43,41.3
Jan 2020,Saskatchewan,15 years and over,887.6,614,578.1,473.1,105,35.9,5.8,69.2,65.1
Jan 2020,Saskatchewan,15 to 24 years,134.6,88.4,76.7,44.1,32.7,11.6,13.1,65.7,57
Jan 2020,Saskatchewan,25 years and over,753,525.7,501.4,429,72.3,24.3,4.6,69.8,66.6
Jan 2020,Saskatchewan,25 to 54 years,432.9,386.4,367.4,326.7,40.8,19,4.9,89.3,84.9
Jan 2020,Saskatchewan,55 years and over,320.1,139.3,134,102.4,31.6,5.3,3.8,43.5,41.9
Jan 2021,Saskatchewan,15 years and over,888.1,597.8,555.7,453.9,101.8,42.1,7,67.3,62.6
Jan 2021,Saskatchewan,15 to 24 years,134.4,84.5,71.9,40.7,31.2,12.6,14.9,62.9,53.5
Jan 2021,Saskatchewan,25 years and over,753.7,513.4,483.8,413.2,70.6,29.5,5.7,68.1,64.2
Jan 2021,Saskatchewan,25 to 54 years,429.5,381.5,359.4,317.6,41.8,22.1,5.8,88.8,83.7
Jan 2021,Saskatchewan,55 years and over,324.2,131.9,124.5,95.7,28.8,7.4,5.6,40.7,38.4
Jan 2022,Saskatchewan,15 years and over,891.8,608.6,574.8,477.9,96.9,33.9,5.6,68.2,64.5
Jan 2022,Saskatchewan,15 to 24 years,134.6,89.5,81.4,47.7,33.6,8.1,9.1,66.5,60.5
Jan 2022,Saskatchewan,25 years and over,757.2,519.1,493.4,430.2,63.2,25.7,5,68.6,65.2
Jan 2022,Saskatchewan,25 to 54 years,430.1,388.1,369.3,334.7,34.5,18.9,4.9,90.2,85.9
Jan 2022,Saskatchewan,55 years and over,327.1,131,124.1,95.4,28.7,6.9,5.3,40,37.9
Apr 2019,Saskatchewan,15 years and over,881.7,611.4,577.6,475.5,102.1,33.7,5.5,69.3,65.5
Apr 2019,Saskatchewan,15 to 24 years,134,90.4,79.8,47.7,32.1,10.6,11.7,67.5,59.6
Apr 2019,Saskatchewan,25 years and over,747.7,521,497.9,427.8,70,23.1,4.4,69.7,66.6
Apr 2019,Saskatchewan,25 to 54 years,431.7,381.6,364.3,326.2,38.1,17.4,4.6,88.4,84.4
Apr 2019,Saskatchewan,55 years and over,316,139.3,133.6,101.7,31.9,5.7,4.1,44.1,42.3
Apr 2020,Saskatchewan,15 years and over,888.5,564.5,500.3,422.1,78.2,64.2,11.4,63.5,56.3
Apr 2020,Saskatchewan,15 to 24 years,134.7,76.8,58.1,38.5,19.6,18.8,24.5,57,43.1
Apr 2020,Saskatchewan,25 years and over,753.8,487.6,442.2,383.6,58.6,45.4,9.3,64.7,58.7
Apr 2020,Saskatchewan,25 to 54 years,432.6,359.8,324.9,290.2,34.7,34.9,9.7,83.2,75.1
Apr 2020,Saskatchewan,55 years and over,321.3,127.8,117.3,93.4,23.9,10.5,8.2,39.8,36.5
Apr 2021,Saskatchewan,15 years and over,889.5,599.8,560.2,450.3,110,39.6,6.6,67.4,63
Apr 2021,Saskatchewan,15 to 24 years,134.4,86.8,76.4,39.5,36.9,10.4,12,64.6,56.8
Apr 2021,Saskatchewan,25 years and over,755,513,483.8,410.7,73.1,29.3,5.7,67.9,64.1
Apr 2021,Saskatchewan,25 to 54 years,429.9,378.2,356.4,312,44.4,21.9,5.8,88,82.9
Apr 2021,Saskatchewan,55 years and over,325.2,134.8,127.4,98.7,28.7,7.4,5.5,41.5,39.2
Apr 2022,Saskatchewan,15 years and over,895.7,614.9,581.5,478.9,102.6,33.4,5.4,68.7,64.9
Apr 2022,Saskatchewan,15 to 24 years,135.1,91.3,81.8,46.4,35.4,9.6,10.5,67.6,60.5
Apr 2022,Saskatchewan,25 years and over,760.7,523.6,499.7,432.5,67.2,23.8,4.5,68.8,65.7
Apr 2022,Saskatchewan,25 to 54 years,432.4,391.8,373.8,333.5,40.3,18,4.6,90.6,86.4
Apr 2022,Saskatchewan,55 years and over,328.2,131.7,125.9,99,26.9,5.9,4.5,40.1,38.4
Jul 2019,Saskatchewan,15 years and over,883.9,609.3,575.1,463.2,111.9,34.1,5.6,68.9,65.1
Jul 2019,Saskatchewan,15 to 24 years,134.3,89.2,77.3,41.2,36.2,11.9,13.3,66.4,57.6
Jul 2019,Saskatchewan,25 years and over,749.6,520.1,497.8,422.1,75.7,22.3,4.3,69.4,66.4
Jul 2019,Saskatchewan,25 to 54 years,431.9,380.6,363.9,320.3,43.6,16.7,4.4,88.1,84.3
Jul 2019,Saskatchewan,55 years and over,317.7,139.4,133.9,101.8,32.2,5.5,3.9,43.9,42.1
Jul 2020,Saskatchewan,15 years and over,887.7,605,548.3,454,94.3,56.7,9.4,68.2,61.8
Jul 2020,Saskatchewan,15 to 24 years,134.5,88.8,71.9,42.2,29.7,16.9,19,66,53.5
Jul 2020,Saskatchewan,25 years and over,753.2,516.2,476.4,411.7,64.6,39.8,7.7,68.5,63.3
Jul 2020,Saskatchewan,25 to 54 years,430.8,382.6,352.5,314,38.6,30.1,7.9,88.8,81.8
Jul 2020,Saskatchewan,55 years and over,322.4,133.6,123.8,97.8,26.1,9.8,7.3,41.4,38.4
Jul 2021,Saskatchewan,15 years and over,889.5,600.1,558.1,453.6,104.5,42,7,67.5,62.7
Jul 2021,Saskatchewan,15 to 24 years,134.3,89.6,79.3,46.6,32.6,10.3,11.5,66.7,59
Jul 2021,Saskatchewan,25 years and over,755.2,510.5,478.8,407,71.8,31.7,6.2,67.6,63.4
Jul 2021,Saskatchewan,25 to 54 years,429.2,380.6,357.7,314.5,43.3,22.9,6,88.7,83.3
Jul 2021,Saskatchewan,55 years and over,326,129.9,121.1,92.6,28.6,8.8,6.8,39.8,37.1
Jul 2022,Saskatchewan,15 years and over,900.4,606.5,581.7,480.7,101,24.8,4.1,67.4,64.6
Jul 2022,Saskatchewan,15 to 24 years,135.7,88.7,82.8,47.8,35,5.9,6.7,65.4,61
Jul 2022,Saskatchewan,25 years and over,764.7,517.8,498.9,432.9,66,18.9,3.7,67.7,65.2
Jul 2022,Saskatchewan,25 to 54 years,435,385.9,372.1,332.7,39.4,13.8,3.6,88.7,85.5
Jul 2022,Saskatchewan,55 years and over,329.7,131.9,126.8,100.2,26.6,5.1,3.9,40,38.5
Oct 2019,Saskatchewan,15 years and over,886.4,611.5,579.3,469.2,110.1,32.3,5.3,69,65.4
Oct 2019,Saskatchewan,15 to 24 years,134.5,89.9,80,44.1,35.9,10,11.1,66.8,59.5
Oct 2019,Saskatchewan,25 years and over,751.9,521.6,499.3,425.1,74.2,22.3,4.3,69.4,66.4
Oct 2019,Saskatchewan,25 to 54 years,432.9,381.1,363.6,322,41.7,17.5,4.6,88,84
Oct 2019,Saskatchewan,55 years and over,319,140.5,135.7,103.1,32.5,4.8,3.4,44,42.5
Oct 2020,Saskatchewan,15 years and over,888,601.7,561.4,456.9,104.5,40.4,6.7,67.8,63.2
Oct 2020,Saskatchewan,15 to 24 years,134.5,89.7,76.9,44.8,32.2,12.8,14.3,66.7,57.2
Oct 2020,Saskatchewan,25 years and over,753.5,512,484.5,412.1,72.4,27.6,5.4,67.9,64.3
Oct 2020,Saskatchewan,25 to 54 years,430,381.4,361.6,316.5,45.1,19.8,5.2,88.7,84.1
Oct 2020,Saskatchewan,55 years and over,323.5,130.6,122.8,95.6,27.2,7.8,6,40.4,38
Oct 2021,Saskatchewan,15 years and over,890,600.8,564.8,460,104.8,36,6,67.5,63.5
Oct 2021,Saskatchewan,15 to 24 years,134.3,90.2,82.3,46.9,35.4,7.9,8.8,67.2,61.3
Oct 2021,Saskatchewan,25 years and over,755.7,510.6,482.4,413.1,69.3,28.1,5.5,67.6,63.8
Oct 2021,Saskatchewan,25 to 54 years,429.2,384.9,366.1,324.9,41.1,18.8,4.9,89.7,85.3
Oct 2021,Saskatchewan,55 years and over,326.5,125.7,116.4,88.2,28.2,9.3,7.4,38.5,35.7
Oct 2022,Saskatchewan,15 years and over,906.4,613.3,583,478.6,104.5,30.3,4.9,67.7,64.3
Oct 2022,Saskatchewan,15 to 24 years,136.7,86.7,77.1,40.7,36.4,9.6,11.1,63.4,56.4
Oct 2022,Saskatchewan,25 years and over,769.8,526.6,505.9,437.8,68.1,20.7,3.9,68.4,65.7
Oct 2022,Saskatchewan,25 to 54 years,438.9,390.7,375.5,336.5,39,15.2,3.9,89,85.6
Oct 2022,Saskatchewan,55 years and over,330.8,135.9,130.4,101.3,29.1,5.5,4,41.1,39.4
